row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,full,calibration,AIR_PATH,mono_60kev,1.0,101,0,5.857,source_models/config/material_sorting_matrix/full/ms_full_calibration_mono_60kev_seed101.txt,ms_full_calibration_mono_60kev_seed101
1,full,calibration,AIR_PATH,mono_60kev,1.0,202,0,4.443,source_models/config/material_sorting_matrix/full/ms_full_calibration_mono_60kev_seed202.txt,ms_full_calibration_mono_60kev_seed202
2,full,calibration,AIR_PATH,mono_60kev,1.0,303,0,4.602,source_models/config/material_sorting_matrix/full/ms_full_calibration_mono_60kev_seed303.txt,ms_full_calibration_mono_60kev_seed303
3,full,calibration,AIR_PATH,mono_100kev,1.0,101,0,4.453,source_models/config/material_sorting_matrix/full/ms_full_calibration_mono_100kev_seed101.txt,ms_full_calibration_mono_100kev_seed101
4,full,calibration,AIR_PATH,mono_100kev,1.0,202,0,3.553,source_models/config/material_sorting_matrix/full/ms_full_calibration_mono_100kev_seed202.txt,ms_full_calibration_mono_100kev_seed202
5,full,calibration,AIR_PATH,mono_100kev,1.0,303,0,4.260,source_models/config/material_sorting_matrix/full/ms_full_calibration_mono_100kev_seed303.txt,ms_full_calibration_mono_100kev_seed303
6,full,calibration,AIR_PATH,spectrum_120kv,1.0,101,0,3.919,source_models/config/material_sorting_matrix/full/ms_full_calibration_spectrum_120kv_seed101.txt,ms_full_calibration_spectrum_120kv_seed101
7,full,calibration,AIR_PATH,spectrum_120kv,1.0,202,0,4.124,source_models/config/material_sorting_matrix/full/ms_full_calibration_spectrum_120kv_seed202.txt,ms_full_calibration_spectrum_120kv_seed202
8,full,calibration,AIR_PATH,spectrum_120kv,1.0,303,0,3.673,source_models/config/material_sorting_matrix/full/ms_full_calibration_spectrum_120kv_seed303.txt,ms_full_calibration_spectrum_120kv_seed303
9,full,material,Quartz,mono_60kev,5.0,101,0,4.929,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_5mm_seed101.txt,ms_full_quartz_mono_60kev_5mm_seed101
10,full,material,Quartz,mono_60kev,5.0,202,0,2.957,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_5mm_seed202.txt,ms_full_quartz_mono_60kev_5mm_seed202
11,full,material,Quartz,mono_60kev,5.0,303,0,2.811,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_5mm_seed303.txt,ms_full_quartz_mono_60kev_5mm_seed303
12,full,material,Quartz,mono_100kev,5.0,101,0,3.192,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_5mm_seed101.txt,ms_full_quartz_mono_100kev_5mm_seed101
13,full,material,Quartz,mono_100kev,5.0,202,0,3.394,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_5mm_seed202.txt,ms_full_quartz_mono_100kev_5mm_seed202
14,full,material,Quartz,mono_100kev,5.0,303,0,3.186,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_5mm_seed303.txt,ms_full_quartz_mono_100kev_5mm_seed303
15,full,material,Quartz,spectrum_120kv,5.0,101,0,2.705,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_5mm_seed101.txt,ms_full_quartz_spectrum_120kv_5mm_seed101
16,full,material,Quartz,spectrum_120kv,5.0,202,0,3.092,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_5mm_seed202.txt,ms_full_quartz_spectrum_120kv_5mm_seed202
17,full,material,Quartz,spectrum_120kv,5.0,303,0,2.916,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_5mm_seed303.txt,ms_full_quartz_spectrum_120kv_5mm_seed303
18,full,material,Quartz,mono_60kev,10.0,101,0,2.858,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_10mm_seed101.txt,ms_full_quartz_mono_60kev_10mm_seed101
19,full,material,Quartz,mono_60kev,10.0,202,0,2.837,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_10mm_seed202.txt,ms_full_quartz_mono_60kev_10mm_seed202
20,full,material,Quartz,mono_60kev,10.0,303,0,2.885,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_10mm_seed303.txt,ms_full_quartz_mono_60kev_10mm_seed303
21,full,material,Quartz,mono_100kev,10.0,101,0,2.839,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_10mm_seed101.txt,ms_full_quartz_mono_100kev_10mm_seed101
22,full,material,Quartz,mono_100kev,10.0,202,0,2.904,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_10mm_seed202.txt,ms_full_quartz_mono_100kev_10mm_seed202
23,full,material,Quartz,mono_100kev,10.0,303,0,3.395,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_10mm_seed303.txt,ms_full_quartz_mono_100kev_10mm_seed303
24,full,material,Quartz,spectrum_120kv,10.0,101,0,3.155,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_10mm_seed101.txt,ms_full_quartz_spectrum_120kv_10mm_seed101
25,full,material,Quartz,spectrum_120kv,10.0,202,0,3.509,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_10mm_seed202.txt,ms_full_quartz_spectrum_120kv_10mm_seed202
26,full,material,Quartz,spectrum_120kv,10.0,303,0,2.982,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_10mm_seed303.txt,ms_full_quartz_spectrum_120kv_10mm_seed303
27,full,material,Quartz,mono_60kev,20.0,101,0,3.163,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_20mm_seed101.txt,ms_full_quartz_mono_60kev_20mm_seed101
28,full,material,Quartz,mono_60kev,20.0,202,0,3.279,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_20mm_seed202.txt,ms_full_quartz_mono_60kev_20mm_seed202
29,full,material,Quartz,mono_60kev,20.0,303,0,2.738,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_60kev_20mm_seed303.txt,ms_full_quartz_mono_60kev_20mm_seed303
30,full,material,Quartz,mono_100kev,20.0,101,0,2.764,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_20mm_seed101.txt,ms_full_quartz_mono_100kev_20mm_seed101
31,full,material,Quartz,mono_100kev,20.0,202,0,2.800,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_20mm_seed202.txt,ms_full_quartz_mono_100kev_20mm_seed202
32,full,material,Quartz,mono_100kev,20.0,303,0,3.659,source_models/config/material_sorting_matrix/full/ms_full_quartz_mono_100kev_20mm_seed303.txt,ms_full_quartz_mono_100kev_20mm_seed303
33,full,material,Quartz,spectrum_120kv,20.0,101,0,3.389,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_20mm_seed101.txt,ms_full_quartz_spectrum_120kv_20mm_seed101
34,full,material,Quartz,spectrum_120kv,20.0,202,0,3.283,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_20mm_seed202.txt,ms_full_quartz_spectrum_120kv_20mm_seed202
35,full,material,Quartz,spectrum_120kv,20.0,303,0,2.899,source_models/config/material_sorting_matrix/full/ms_full_quartz_spectrum_120kv_20mm_seed303.txt,ms_full_quartz_spectrum_120kv_20mm_seed303
36,full,material,Calcite,mono_60kev,5.0,101,0,3.054,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_5mm_seed101.txt,ms_full_calcite_mono_60kev_5mm_seed101
37,full,material,Calcite,mono_60kev,5.0,202,0,3.010,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_5mm_seed202.txt,ms_full_calcite_mono_60kev_5mm_seed202
38,full,material,Calcite,mono_60kev,5.0,303,0,2.951,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_5mm_seed303.txt,ms_full_calcite_mono_60kev_5mm_seed303
39,full,material,Calcite,mono_100kev,5.0,101,0,2.920,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_5mm_seed101.txt,ms_full_calcite_mono_100kev_5mm_seed101
40,full,material,Calcite,mono_100kev,5.0,202,0,2.996,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_5mm_seed202.txt,ms_full_calcite_mono_100kev_5mm_seed202
41,full,material,Calcite,mono_100kev,5.0,303,0,2.978,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_5mm_seed303.txt,ms_full_calcite_mono_100kev_5mm_seed303
42,full,material,Calcite,spectrum_120kv,5.0,101,0,3.605,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_5mm_seed101.txt,ms_full_calcite_spectrum_120kv_5mm_seed101
43,full,material,Calcite,spectrum_120kv,5.0,202,0,3.955,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_5mm_seed202.txt,ms_full_calcite_spectrum_120kv_5mm_seed202
44,full,material,Calcite,spectrum_120kv,5.0,303,0,3.659,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_5mm_seed303.txt,ms_full_calcite_spectrum_120kv_5mm_seed303
45,full,material,Calcite,mono_60kev,10.0,101,0,3.749,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_10mm_seed101.txt,ms_full_calcite_mono_60kev_10mm_seed101
46,full,material,Calcite,mono_60kev,10.0,202,0,3.640,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_10mm_seed202.txt,ms_full_calcite_mono_60kev_10mm_seed202
47,full,material,Calcite,mono_60kev,10.0,303,0,2.909,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_10mm_seed303.txt,ms_full_calcite_mono_60kev_10mm_seed303
48,full,material,Calcite,mono_100kev,10.0,101,0,2.900,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_10mm_seed101.txt,ms_full_calcite_mono_100kev_10mm_seed101
49,full,material,Calcite,mono_100kev,10.0,202,0,2.926,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_10mm_seed202.txt,ms_full_calcite_mono_100kev_10mm_seed202
50,full,material,Calcite,mono_100kev,10.0,303,0,3.490,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_10mm_seed303.txt,ms_full_calcite_mono_100kev_10mm_seed303
51,full,material,Calcite,spectrum_120kv,10.0,101,0,3.863,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_10mm_seed101.txt,ms_full_calcite_spectrum_120kv_10mm_seed101
52,full,material,Calcite,spectrum_120kv,10.0,202,0,3.678,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_10mm_seed202.txt,ms_full_calcite_spectrum_120kv_10mm_seed202
53,full,material,Calcite,spectrum_120kv,10.0,303,0,2.791,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_10mm_seed303.txt,ms_full_calcite_spectrum_120kv_10mm_seed303
54,full,material,Calcite,mono_60kev,20.0,101,0,2.842,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_20mm_seed101.txt,ms_full_calcite_mono_60kev_20mm_seed101
55,full,material,Calcite,mono_60kev,20.0,202,0,2.944,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_20mm_seed202.txt,ms_full_calcite_mono_60kev_20mm_seed202
56,full,material,Calcite,mono_60kev,20.0,303,0,2.951,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_60kev_20mm_seed303.txt,ms_full_calcite_mono_60kev_20mm_seed303
57,full,material,Calcite,mono_100kev,20.0,101,0,2.848,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_20mm_seed101.txt,ms_full_calcite_mono_100kev_20mm_seed101
58,full,material,Calcite,mono_100kev,20.0,202,0,2.982,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_20mm_seed202.txt,ms_full_calcite_mono_100kev_20mm_seed202
59,full,material,Calcite,mono_100kev,20.0,303,0,2.872,source_models/config/material_sorting_matrix/full/ms_full_calcite_mono_100kev_20mm_seed303.txt,ms_full_calcite_mono_100kev_20mm_seed303
60,full,material,Calcite,spectrum_120kv,20.0,101,0,2.771,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_20mm_seed101.txt,ms_full_calcite_spectrum_120kv_20mm_seed101
61,full,material,Calcite,spectrum_120kv,20.0,202,0,2.761,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_20mm_seed202.txt,ms_full_calcite_spectrum_120kv_20mm_seed202
62,full,material,Calcite,spectrum_120kv,20.0,303,0,2.837,source_models/config/material_sorting_matrix/full/ms_full_calcite_spectrum_120kv_20mm_seed303.txt,ms_full_calcite_spectrum_120kv_20mm_seed303
63,full,material,Orthoclase,mono_60kev,5.0,101,0,3.208,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_5mm_seed101.txt,ms_full_orthoclase_mono_60kev_5mm_seed101
64,full,material,Orthoclase,mono_60kev,5.0,202,0,3.160,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_5mm_seed202.txt,ms_full_orthoclase_mono_60kev_5mm_seed202
65,full,material,Orthoclase,mono_60kev,5.0,303,0,3.305,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_5mm_seed303.txt,ms_full_orthoclase_mono_60kev_5mm_seed303
66,full,material,Orthoclase,mono_100kev,5.0,101,0,5.079,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_5mm_seed101.txt,ms_full_orthoclase_mono_100kev_5mm_seed101
67,full,material,Orthoclase,mono_100kev,5.0,202,0,3.742,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_5mm_seed202.txt,ms_full_orthoclase_mono_100kev_5mm_seed202
68,full,material,Orthoclase,mono_100kev,5.0,303,0,4.644,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_5mm_seed303.txt,ms_full_orthoclase_mono_100kev_5mm_seed303
69,full,material,Orthoclase,spectrum_120kv,5.0,101,0,3.579,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_5mm_seed101.txt,ms_full_orthoclase_spectrum_120kv_5mm_seed101
70,full,material,Orthoclase,spectrum_120kv,5.0,202,0,3.680,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_5mm_seed202.txt,ms_full_orthoclase_spectrum_120kv_5mm_seed202
71,full,material,Orthoclase,spectrum_120kv,5.0,303,0,3.620,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_5mm_seed303.txt,ms_full_orthoclase_spectrum_120kv_5mm_seed303
72,full,material,Orthoclase,mono_60kev,10.0,101,0,7.260,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_10mm_seed101.txt,ms_full_orthoclase_mono_60kev_10mm_seed101
73,full,material,Orthoclase,mono_60kev,10.0,202,0,6.948,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_10mm_seed202.txt,ms_full_orthoclase_mono_60kev_10mm_seed202
74,full,material,Orthoclase,mono_60kev,10.0,303,0,6.414,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_10mm_seed303.txt,ms_full_orthoclase_mono_60kev_10mm_seed303
75,full,material,Orthoclase,mono_100kev,10.0,101,0,4.361,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_10mm_seed101.txt,ms_full_orthoclase_mono_100kev_10mm_seed101
76,full,material,Orthoclase,mono_100kev,10.0,202,0,3.301,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_10mm_seed202.txt,ms_full_orthoclase_mono_100kev_10mm_seed202
77,full,material,Orthoclase,mono_100kev,10.0,303,0,3.142,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_10mm_seed303.txt,ms_full_orthoclase_mono_100kev_10mm_seed303
78,full,material,Orthoclase,spectrum_120kv,10.0,101,0,2.972,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_10mm_seed101.txt,ms_full_orthoclase_spectrum_120kv_10mm_seed101
79,full,material,Orthoclase,spectrum_120kv,10.0,202,0,2.951,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_10mm_seed202.txt,ms_full_orthoclase_spectrum_120kv_10mm_seed202
80,full,material,Orthoclase,spectrum_120kv,10.0,303,0,2.946,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_10mm_seed303.txt,ms_full_orthoclase_spectrum_120kv_10mm_seed303
81,full,material,Orthoclase,mono_60kev,20.0,101,0,2.997,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_20mm_seed101.txt,ms_full_orthoclase_mono_60kev_20mm_seed101
82,full,material,Orthoclase,mono_60kev,20.0,202,0,2.858,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_20mm_seed202.txt,ms_full_orthoclase_mono_60kev_20mm_seed202
83,full,material,Orthoclase,mono_60kev,20.0,303,0,2.941,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_60kev_20mm_seed303.txt,ms_full_orthoclase_mono_60kev_20mm_seed303
84,full,material,Orthoclase,mono_100kev,20.0,101,0,3.022,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_20mm_seed101.txt,ms_full_orthoclase_mono_100kev_20mm_seed101
85,full,material,Orthoclase,mono_100kev,20.0,202,0,2.977,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_20mm_seed202.txt,ms_full_orthoclase_mono_100kev_20mm_seed202
86,full,material,Orthoclase,mono_100kev,20.0,303,0,2.936,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_mono_100kev_20mm_seed303.txt,ms_full_orthoclase_mono_100kev_20mm_seed303
87,full,material,Orthoclase,spectrum_120kv,20.0,101,0,2.937,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_20mm_seed101.txt,ms_full_orthoclase_spectrum_120kv_20mm_seed101
88,full,material,Orthoclase,spectrum_120kv,20.0,202,0,2.946,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_20mm_seed202.txt,ms_full_orthoclase_spectrum_120kv_20mm_seed202
89,full,material,Orthoclase,spectrum_120kv,20.0,303,0,3.012,source_models/config/material_sorting_matrix/full/ms_full_orthoclase_spectrum_120kv_20mm_seed303.txt,ms_full_orthoclase_spectrum_120kv_20mm_seed303
90,full,material,Albite,mono_60kev,5.0,101,0,3.044,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_5mm_seed101.txt,ms_full_albite_mono_60kev_5mm_seed101
91,full,material,Albite,mono_60kev,5.0,202,0,3.107,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_5mm_seed202.txt,ms_full_albite_mono_60kev_5mm_seed202
92,full,material,Albite,mono_60kev,5.0,303,0,2.988,source_models/config/material_sorting_matrix/full/ms_full_albite_mono_60kev_5mm_seed303.txt,ms_full_albite_mono_60kev_5mm_seed303
